custId,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,mobile,email,fax
19,"Customer RFNQC","Boseman, Randall","Sales Agent","5678 King George",London,NULL,10110,UK,"(171) 345-6789",NULL,NULL,"(171) 345-6780"
20,"Customer THHDP","Kane, John","Sales Manager","Kirchgasse 9012",Graz,NULL,10059,Austria,1234-5678,NULL,NULL,9012-3456
21,"Customer KIdPX","Russo, Giuseppe","Marketing Assistant","Rua Orós, 3456","Sao Paulo",SP,10096,Brazil,"(11) 456-7890",NULL,NULL,NULL
22,"Customer DTDMN","Bueno, Janaina Burdan, Neville","Accounting Manager","C/ Moralzarzal, 5678",Madrid,NULL,10080,Spain,"(91) 890 12 34",NULL,NULL,"(91) 567 89 01"
23,"Customer WVFAF","Khanna, Karan","Assistant Sales Agent","4567, chaussée de Tournai",Lille,NULL,10048,France,45.67.89.01,NULL,NULL,45.67.89.02
24,"Customer CYZTN","San Juan, Patricia",Owner,"Åkergatan 5678",Bräcke,NULL,10114,Sweden,"0695-67 89 01",NULL,NULL,NULL
25,"Customer AZJED","Carlson, Jason","Marketing Manager","Berliner Platz 9012",München,NULL,10091,Germany,089-8901234,NULL,NULL,089-5678901
26,"Customer USDBG","Koch, Paul","Marketing Manager","9012, rue Royale",Nantes,NULL,10101,France,34.56.78.90,NULL,NULL,34.56.78.91
27,"Customer WMFEA","Schmöllerl, Martin","Sales Representative","Via Monte Bianco 4567",Torino,NULL,10099,Italy,011-2345678,NULL,NULL,011-9012345
28,"Customer XYUFB","Cavaglieri, Giorgio","Sales Manager","Jardim das rosas n. 8901",Lisboa,NULL,10054,Portugal,"(1) 456-7890",NULL,NULL,"(1) 123-4567"
29,"Customer MDLWA","Kolesnikova, Katerina","Marketing Manager","Rambla de Cataluña, 8901",Barcelona,NULL,10081,Spain,"(93) 789 0123",NULL,NULL,"(93) 456 7890"
30,"Customer KSLQF","Shabalin, Rostislav","Sales Manager","C/ Romero, 1234",Sevilla,NULL,10075,Spain,"(95) 901 23 45",NULL,NULL,NULL
31,"Customer YJCBX","Cheng, Yao-Qiang","Sales Associate","Av. Brasil, 5678",Campinas,SP,10128,Brazil,"(11) 567-8901",NULL,NULL,NULL
32,"Customer YSIQX","Krishnan, Venky","Marketing Manager","6789 Baker Blvd.",Eugene,OR,10070,USA,"(503) 555-0122",NULL,NULL,NULL
33,"Customer FVXPQ","Sigurdarson, Hallur ",Owner,"5ª Ave. Los Palos Grandes 3456",Caracas,DF,10043,Venezuela,"(2) 789-0123",NULL,NULL,"(2) 456-7890"
34,"Customer IBVRG","Cohen, Shy","Accounting Manager","Rua do Paço, 7890","Rio de Janeiro",RJ,10076,Brazil,"(21) 789-0123",NULL,NULL,"(21) 789-0124"
35,"Customer UMTLM","Langohr, Kris","Sales Representative","Carrera 1234 con Ave. Carlos Soublette #8-35","San Cristóbal",Táchira,10066,Venezuela,"(5) 567-8901",NULL,NULL,"(5) 234-5678"
36,"Customer LVJSO","Smith, Denise","Sales Representative","City Center Plaza 2345 Main St.",Elgin,OR,10103,USA,"(503) 555-0126",NULL,NULL,"(503) 555-0135"
37,"Customer FRXZL","Crăciun, Ovidiu V.","Sales Associate","9012 Johnstown Road",Cork,"Co. Cork",10051,Ireland,"8901 234",NULL,NULL,"5678 9012"
38,"Customer LJUCA","Lee, Frank","Marketing Manager","Garden House Crowther Way 3456",Cowes,"Isle of Wight",10063,UK,"(198) 567-8901",NULL,NULL,NULL
39,"Customer GLLAG","Song, Lolan","Sales Associate","Maubelstr. 8901",Brandenburg,NULL,10060,Germany,0555-34567,NULL,NULL,NULL
40,"Customer EFFTC","De Oliveira, Jose","Sales Representative","2345, avenue de l'Europe",Versailles,NULL,10108,France,12.34.56.78,NULL,NULL,12.34.56.79
41,"Customer XIIWM","Litton, Tim","Sales Manager","3456 rue Alsace-Lorraine",Toulouse,NULL,10053,France,90.12.34.56,NULL,NULL,90.12.34.57
42,"Customer IAIJK","Steiner, Dominik","Marketing Assistant","2345 Oak St.",Vancouver,BC,10098,Canada,"(604) 567-8901",NULL,NULL,"(604) 234-5678"
43,"Customer UISOJ","Deshpande, Anu","Marketing Manager","8901 Orchestra Terrace","Walla Walla",WA,10069,USA,"(509) 555-0119",NULL,NULL,"(509) 555-0130"
44,"Customer OXFRU","Louverdis, George","Sales Representative","Magazinweg 8901","Frankfurt a.M.",NULL,10095,Germany,069-7890123,NULL,NULL,069-4567890
45,"Customer QXPPT","Sunkammurali,  Krishna",Owner,"1234 Polk St. Suite 5","San Francisco",CA,10062,USA,"(415) 555-0118",NULL,NULL,NULL
46,"Customer XPNIK","Dressler, Marlies","Accounting Manager","Carrera 7890 con Ave. Bolívar #65-98 Llano Largo",Barquisimeto,Lara,10093,Venezuela,"(9) 789-0123",NULL,NULL,"(9) 456-7890"
47,"Customer PSQUZ","Lupu, Cornel",Owner,"Ave. 5 de Mayo Porlamar 5678","I. de Margarita","Nueva Esparta",10121,Venezuela,"(8) 01-23-45",NULL,NULL,"(8) 67-89-01"
48,"Customer DVFMB","Szymczak, Radosław","Sales Manager","9012 Chiaroscuro Rd.",Portland,OR,10073,USA,"(503) 555-0117",NULL,NULL,"(503) 555-0129"
49,"Customer CQRAA","Duerr, Bernard","Marketing Manager","Via Ludovico il Moro 6789",Bergamo,NULL,10106,Italy,035-345678,NULL,NULL,035-901234
50,"Customer JYPSC","Mace, Donald","Sales Agent","Rue Joseph-Bens 0123",Bruxelles,NULL,10074,Belgium,"(02) 890 12 34",NULL,NULL,"(02) 567 89 01"
51,"Customer PVDZC","Taylor, Maurice","Marketing Assistant","8901 rue St. Laurent",Montréal,Québec,10040,Canada,"(514) 345-6789",NULL,NULL,"(514) 012-3456"
52,"Customer PZNLA","Dupont-Roc, Patrice","Marketing Assistant","Heerstr. 4567",Leipzig,NULL,10125,Germany,0342-12345,NULL,NULL,NULL
53,"Customer GCJSG","Mallit, Ken","Sales Associate","South House 1234 Queensbridge",London,NULL,10061,UK,"(171) 890-1234",NULL,NULL,"(171) 890-1235"
54,"Customer TDKEG","Tiano, Mike","Sales Agent","Ing. Gustavo Moncada 0123 Piso 20-A","Buenos Aires",NULL,10094,Argentina,"(1) 123-4567",NULL,NULL,"(1) 890-1234"
55,"Customer KZQZT","Egelund-Muller, Anja","Sales Representative","7890 Bering St.",Anchorage,AK,10050,USA,"(907) 555-0115",NULL,NULL,"(907) 555-0128"
56,"Customer QNIVZ","Marinova, Nadejda",Owner,"Mehrheimerstr. 9012",Köln,NULL,10047,Germany,0221-0123456,NULL,NULL,0221-7890123
57,"Customer WVAXS","Tollevsen, Bjørn",Owner,"5678, boulevard Charonne",Paris,NULL,10085,France,"(1) 89.01.23.45",NULL,NULL,"(1) 89.01.23.46"
58,"Customer AHXHT","Fakhouri, Fadi","Sales Representative","Calle Dr. Jorge Cash 8901","México D.F.",NULL,10116,Mexico,"(5) 890-1234",NULL,NULL,"(5) 567-8901"
59,"Customer LOLJO","Meston, Tosh","Sales Manager","Geislweg 2345",Salzburg,NULL,10127,Austria,4567-8901,NULL,NULL,2345-6789
60,"Customer QZURI","Uppal, Sunil","Sales Representative","Estrada da saúde n. 6789",Lisboa,NULL,10083,Portugal,"(1) 789-0123",NULL,NULL,NULL
61,"Customer WULWD","Florczyk, Krzysztof","Accounting Manager","Rua da Panificadora, 1234","Rio de Janeiro",RJ,10115,Brazil,"(21) 678-9012",NULL,NULL,"(21) 678-9013"
62,"Customer WFIZJ","Misiec, Anna","Marketing Assistant","Alameda dos Canàrios, 1234","Sao Paulo",SP,10102,Brazil,"(11) 901-2345",NULL,NULL,NULL
63,"Customer IRRVL","Veronesi, Giorgio","Accounting Manager","Taucherstraße 1234",Cunewalde,NULL,10126,Germany,0372-12345,NULL,NULL,NULL
64,"Customer LWGMD","Gaffney, Lawrie","Sales Representative","Av. del Libertador 3456","Buenos Aires",NULL,10124,Argentina,"(1) 234-5678",NULL,NULL,"(1) 901-2345"
65,"Customer NYUHS","Moore, Michael","Assistant Sales Representative","6789 Milton Dr.",Albuquerque,NM,10109,USA,"(505) 555-0125",NULL,NULL,"(505) 555-0134"
66,"Customer LHANT","Voss, Florian","Sales Associate","Strada Provinciale 7890","Reggio Emilia",NULL,10038,Italy,0522-012345,NULL,NULL,0522-678901
67,"Customer QVEPD","Garden, Euan","Assistant Sales Agent","Av. Copacabana, 6789","Rio de Janeiro",RJ,10052,Brazil,"(21) 345-6789",NULL,NULL,NULL
68,"Customer CCKOT","Myrcha, Jacek","Sales Manager","Grenzacherweg 0123",Genève,NULL,10122,Switzerland,0897-012345,NULL,NULL,NULL
69,"Customer SIUIH","Watters, Jason M.","Accounting Manager","Gran Vía, 4567",Madrid,NULL,10071,Spain,"(91) 567 8901",NULL,NULL,"(91) 234 5678"
70,"Customer TMXGN","Ginters, Kaspars",Owner,"Erling Skakkes gate 2345",Stavern,NULL,10123,Norway,"07-89 01 23",NULL,NULL,"07-45 67 89"
71,"Customer LCOUJ","Navarro, Tomás","Sales Representative","9012 Suffolk Ln.",Boise,Id,10078,USA,"(208) 555-0116",NULL,NULL,NULL
72,"Customer AHPOP","Welcker, Brian","Sales Manager","4567 Wadhurst Rd.",London,NULL,10088,UK,"(171) 901-2345",NULL,NULL,"(171) 901-2346"
73,"Customer JMIKW","Gonzalez, Nuria",Owner,"Vinbæltet 3456",Kobenhavn,NULL,10079,Denmark,"12 34 56 78",NULL,NULL,"90 12 34 56"
74,"Customer YSHXL","O’Brien, Dave","Marketing Manager","9012, rue Lauriston",Paris,NULL,10058,France,"(1) 23.45.67.89",NULL,NULL,"(1) 23.45.67.80"
75,"Customer XOJYP","Wojciechowska, Agnieszka","Sales Manager","P.O. Box 1234",Lander,WY,10113,USA,"(307) 555-0114",NULL,NULL,"(307) 555-0127"
76,"Customer SFOGW","Gulbis, Katrin","Accounting Manager","Boulevard Tirou, 2345",Charleroi,NULL,10100,Belgium,"(071) 56 78 90 12",NULL,NULL,"(071) 34 56 78 90"
77,"Customer LCYBZ","Osorio, Cristian","Marketing Manager","2345 Jefferson Way Suite 2",Portland,OR,10042,USA,"(503) 555-0120",NULL,NULL,NULL
78,"Customer NLTYP","Young, Robin","Marketing Assistant","0123 Grizzly Peak Rd.",Butte,MT,10107,USA,"(406) 555-0121",NULL,NULL,"(406) 555-0131"
79,"Customer FAPSM","Wickham, Jim","Marketing Manager","Luisenstr. 0123",Münster,NULL,10118,Germany,0251-456789,NULL,NULL,0251-012345
80,"Customer VONTK","Geschwandtner, Jens",Owner,"Avda. Azteca 4567","México D.F.",NULL,10044,Mexico,"(5) 678-9012",NULL,NULL,NULL
81,"Customer YQQWW","Nagel, Jean-Philippe","Sales Representative","Av. Inês de Castro, 1234","Sao Paulo",SP,10120,Brazil,"(11) 123-4567",NULL,NULL,"(11) 234-5678"
82,"Customer EYHKM","Veninga, Tjeerd","Sales Associate","1234 DaVinci Blvd.",Kirkland,WA,10119,USA,"(206) 555-0124",NULL,NULL,"(206) 555-0133"
83,"Customer ZRNDE","Fonteneau, Karl","Sales Manager","Smagsloget 3456",Århus,NULL,10090,Denmark,"23 45 67 89",NULL,NULL,"01 23 45 67"
84,"Customer NRCSK","Tuntisangaroon, Sittichai","Sales Agent","6789, rue du Commerce",Lyon,NULL,10072,France,78.90.12.34,NULL,NULL,78.90.12.35
85,"Customer ENQZT","McLin, Nkenge","Accounting Manager","5678 rue de l'Abbaye",Reims,NULL,10082,France,56.78.90.12,NULL,NULL,56.78.90.13
86,"Customer SNXOJ","Syamala, Manoj","Sales Representative","Adenauerallee 7890",Stuttgart,NULL,10086,Germany,0711-345678,NULL,NULL,0711-901234
87,"Customer ZHYOS","Ludwig, Michael","Accounting Manager","Torikatu 9012",Oulu,NULL,10045,Finland,981-123456,NULL,NULL,981-789012
88,"Customer SRQVM","Li, Yan","Sales Manager","Rua do Mercado, 4567",Resende,SP,10084,Brazil,"(14) 234-5678",NULL,NULL,NULL
89,"Customer YBQTI","Smith Jr., Ronaldo",Owner,"8901 - 14th Ave. S. Suite 3B",Seattle,WA,10049,USA,"(206) 555-0123",NULL,NULL,"(206) 555-0132"
90,"Customer XBBVR","Larsson, Katarina","Owner/Marketing Assistant","Keskuskatu 2345",Helsinki,NULL,10055,Finland,"90-012 3456",NULL,NULL,"90-789 0123"
91,"Customer CCFIZ","Conn, Steve",Owner,"ul. Filtrowa 6789",Warszawa,NULL,10068,Poland,"(26) 234-5678",NULL,NULL,"(26) 901-2345"
